ibutton,date.time,ibutton.temp,site,fish_depth,dissolved.oxygen,date
8,2021-07-29T02:40:00Z,15.156,blue.ruin,0.696512136453094,3.04837087251257,2021-07-29
10,2021-07-29T02:40:00Z,12.477,blue.ruin,0.992797783933518,2.48269078947368,2021-07-29
13,2021-07-29T02:40:00Z,15.293,norwood,0.776592568015926,2.88816431652289,2021-07-29
16,2021-07-29T02:40:00Z,13.776,norwood,1.04364135407136,2.09461184812443,2021-07-29
17,2021-07-29T02:40:00Z,16.635,blue.ruin,0.550973102995845,3.39766455280997,2021-07-29
23,2021-07-29T02:40:00Z,14.063,blue.ruin,0.804067351847802,2.79023835556527,2021-07-29
30,2021-07-29T02:40:00Z,14.793,blue.ruin,0.732232670019681,2.96264159195277,2021-07-29
11,2021-07-29T02:45:00Z,15.099,blue.ruin,0.69954706142289,2.90358373840035,2021-07-29
14,2021-07-29T02:45:00Z,15.192,norwood,0.778851815505397,2.85821671573438,2021-07-29
15,2021-07-29T02:45:00Z,12.647,blue.ruin,0.943338488731772,2.44259631221629,2021-07-29
18,2021-07-29T02:45:00Z,14.559,norwood,0.830618253189401,2.34874869152764,2021-07-29
22,2021-07-29T02:45:00Z,13.985,blue.ruin,0.810307114449845,2.6941465472221102,2021-07-29
31,2021-07-29T02:45:00Z,14.987,blue.ruin,0.710682722050376,2.88252721648656,2021-07-29
6,2021-07-29T02:50:00Z,13.875,norwood,1.01238898756661,2.0432553285968,2021-07-29
7,2021-07-29T02:50:00Z,14.018,blue.ruin,0.804909332153914,2.71742109283905,2021-07-29
10,2021-07-29T02:50:00Z,12.477,blue.ruin,0.984109589041096,2.50882260273973,2021-07-29
13,2021-07-29T02:50:00Z,15.919,norwood,0.719950331125828,3.39710747792494,2021-07-29
21,2021-07-29T02:50:00Z,15.903,blue.ruin,0.617326404245909,3.02437497487033,2021-07-29
5,2021-07-29T02:55:00Z,14.062,blue.ruin,0.799733214762117,2.80599781721169,2021-07-29
8,2021-07-29T02:55:00Z,15.907,blue.ruin,0.615151178301467,3.1818739641861,2021-07-29
15,2021-07-29T02:55:00Z,12.647,blue.ruin,0.941296131614051,2.51772424107684,2021-07-29
16,2021-07-29T02:55:00Z,13.589,norwood,1.09498567335244,2.00084957020057,2021-07-29
